dir,object,section,size_hex,size_dec
ex5,mempfix.o,.debug_str,0x00000baa,2986
ex5,mempfix.o,.comment,0x00000034,52
ex5,mempfix.o,.debug_frame,0x00000128,296
ex5,mempfix.o,.ARM.attributes,0x00000033,51
ex5,time_manage.o,.text,0x00000390,912
ex5,time_manage.o,.data,0x00000000,0
ex5,time_manage.o,.bss,0x00000000,0
ex5,time_manage.o,.debug_info,0x000012bd,4797
ex5,time_manage.o,.debug_abbrev,0x0000034a,842
ex5,time_manage.o,.debug_loc,0x0000077a,1914
ex5,time_manage.o,.debug_aranges,0x00000020,32
ex5,time_manage.o,.debug_ranges,0x000001b8,440
ex5,time_manage.o,.debug_line,0x000009b2,2482
ex5,time_manage.o,.debug_str,0x000006a8,1704
ex5,time_manage.o,.comment,0x00000034,52
ex5,time_manage.o,.debug_frame,0x00000084,132
ex5,time_manage.o,.ARM.attributes,0x00000033,51
ex5,cyclic.o,.text,0x00000614,1556
ex5,cyclic.o,.data,0x00000000,0
ex5,cyclic.o,.bss,0x00000000,0
ex5,cyclic.o,.debug_info,0x0000197c,6524
ex5,cyclic.o,.debug_abbrev,0x000003ed,1005
ex5,cyclic.o,.debug_loc,0x00000a7a,2682
ex5,cyclic.o,.debug_aranges,0x00000020,32
ex5,cyclic.o,.debug_ranges,0x000001d0,464
ex5,cyclic.o,.debug_line,0x00000ef1,3825
ex5,cyclic.o,.debug_str,0x0000072a,1834
ex5,cyclic.o,.comment,0x00000034,52
ex5,cyclic.o,.debug_frame,0x0000011c,284
ex5,cyclic.o,.ARM.attributes,0x00000033,51
ex5,alarm.o,.text,0x00000568,1384
ex5,alarm.o,.data,0x00000000,0
ex5,alarm.o,.bss,0x00000000,0
ex5,alarm.o,.debug_info,0x00001546,5446
ex5,alarm.o,.debug_abbrev,0x000003f7,1015
ex5,alarm.o,.debug_loc,0x000006ac,1708
ex5,alarm.o,.debug_aranges,0x00000020,32
ex5,alarm.o,.debug_ranges,0x00000110,272
ex5,alarm.o,.debug_line,0x00000cfc,3324
ex5,alarm.o,.debug_str,0x00000706,1798
ex5,alarm.o,.comment,0x00000034,52
ex5,alarm.o,.debug_frame,0x000000e8,232
ex5,alarm.o,.ARM.attributes,0x00000033,51
ex5,spin_lock.o,.text,0x00000318,792
ex5,spin_lock.o,.data,0x00000000,0
ex5,spin_lock.o,.bss,0x00000000,0
ex5,spin_lock.o,.debug_info,0x0000161f,5663
ex5,spin_lock.o,.debug_abbrev,0x00000454,1108
ex5,spin_lock.o,.debug_loc,0x0000088b,2187
ex5,spin_lock.o,.debug_aranges,0x00000020,32
ex5,spin_lock.o,.debug_ranges,0x000001f0,496
ex5,spin_lock.o,.debug_line,0x000009ec,2540
ex5,spin_lock.o,.debug_str,0x0000095a,2394
ex5,spin_lock.o,.comment,0x00000034,52
ex5,spin_lock.o,.debug_frame,0x0000007c,124
ex5,spin_lock.o,.ARM.attributes,0x00000033,51
ex5,sys_manage.o,.text,0x00000b50,2896
ex5,sys_manage.o,.data,0x00000000,0
ex5,sys_manage.o,.bss,0x00000000,0
ex5,sys_manage.o,.debug_info,0x00003c19,15385
ex5,sys_manage.o,.debug_abbrev,0x000004d3,1235
ex5,sys_manage.o,.debug_loc,0x000023c3,9155
ex5,sys_manage.o,.debug_aranges,0x00000020,32
ex5,sys_manage.o,.debug_ranges,0x000007b8,1976
ex5,sys_manage.o,.debug_line,0x00001f88,8072
ex5,sys_manage.o,.debug_str,0x00000ae3,2787
ex5,sys_manage.o,.comment,0x00000034,52
ex5,sys_manage.o,.debug_frame,0x00000184,388
ex5,sys_manage.o,.ARM.attributes,0x00000033,51
ex5,interrupt.o,.text,0x00000668,1640
ex5,interrupt.o,.data,0x00000000,0
ex5,interrupt.o,.bss,0x00000000,0
ex5,interrupt.o,.debug_info,0x00002247,8775
ex5,interrupt.o,.debug_abbrev,0x00000456,1110
ex5,interrupt.o,.debug_loc,0x00000f85,3973
ex5,interrupt.o,.debug_aranges,0x00000020,32
ex5,interrupt.o,.debug_ranges,0x00000338,824
ex5,interrupt.o,.debug_line,0x00000f89,3977
ex5,interrupt.o,.debug_str,0x00000abe,2750
